! !:0.0810779971474 #:0.00901133548532 $:0.00300578034682 &:0.00300578034682 ,:0.420391862473 A:0.0270280009008 @:0.0180196681931 E:0.0180196681931 D:0.0210224457623 G:0.0120141130546 M:3.00277756925e-06 L:0.0510502214548 O:0.135127993394 N:0.0360363336086 P:0.0240252233316 S:3.00277756925e-06 R:0.0300307784701 U:0.0120141130546 T:3.00277756925e-06 V:0.0300307784701 Y:3.00277756925e-06 X:3.00277756925e-06 Z:3.00277756925e-06 ^:0.0360363336086 ~:0.0330335560393 
# !:0.012056609455 #:0.505883769949 $:0.0241011743451 &:1.20445648901e-05 ,:0.0963685636856 A:0.012056609455 @:1.20445648901e-05 E:1.20445648901e-05 D:0.0361457392352 G:0.0241011743451 M:1.20445648901e-05 L:1.20445648901e-05 O:0.0481903041253 N:0.0361457392352 P:0.0361457392352 S:1.20445648901e-05 R:0.012056609455 U:0.012056609455 T:1.20445648901e-05 V:0.0361457392352 Y:1.20445648901e-05 X:1.20445648901e-05 Z:1.20445648901e-05 ^:0.0481903041253 ~:0.0602348690154 
$ !:0.00975978539203 #:4.87745396903e-06 $:0.0195146933301 &:0.0292696012681 ,:0.243877575905 A:0.0439019631752 @:4.87745396903e-06 E:0.004882331423 D:4.87745396903e-06 G:0.0146372393611 M:0.004882331423 L:4.87745396903e-06 O:0.0243921472991 N:0.336549201317 P:0.17071576637 S:4.87745396903e-06 R:0.0146372393611 U:0.00975978539203 T:4.87745396903e-06 V:0.0195146933301 Y:4.87745396903e-06 X:4.87745396903e-06 Z:4.87745396903e-06 ^:0.0487794171443 ~:0.004882331423 
& !:0.0167388348499 #:4.18366279678e-06 $:0.0125551720531 &:4.18366279678e-06 ,:0.00837150925635 A:0.0669427884113 @:0.0167388348499 E:4.18366279678e-06 D:0.0669427884113 G:0.00418784645958 M:4.18366279678e-06 L:0.0502081372241 O:0.184085346721 N:0.154799707144 P:0.0292898232402 S:4.18366279678e-06 R:0.0878611023951 U:0.00837150925635 T:4.18366279678e-06 V:0.209187323502 Y:4.18366279678e-06 X:4.18366279678e-06 Z:4.18366279678e-06 ^:0.0836774395984 ~:4.18366279678e-06 
, !:0.0865955083677 #:0.0233436870541 $:0.0263556785452 &:0.0353916530186 ,:0.0256026806724 A:0.0384036445097 @:0.0165667061991 E:0.033885657273 D:0.0466866211103 G:0.0173197040718 M:7.52997872781e-07 L:0.051204608347 O:0.117468421152 N:0.0737945445304 P:0.033885657273 S:0.000753750870654 R:0.0572285913292 U:0.0685235594209 T:7.52997872781e-07 V:0.127257393498 Y:0.00150674874343 X:0.00225974661622 Z:0.000753750870654 ^:0.0783125317671 ~:0.0368976487641 
A !:0.0108853440359 #:0.00136185844019 $:0.0217693275739 &:0.0204088296316 ,:0.157819121799 A:0.0408162987653 @:0.00544335226693 E:0.00952484609367 D:0.00952484609367 G:0.00816434815142 M:1.36049794225e-06 L:0.00680385020918 O:0.0122458419782 N:0.492501615591 P:0.111562191762 S:0.00136185844019 R:0.0244903234584 U:0.00136185844019 T:1.36049794225e-06 V:0.0149668378627 Y:1.36049794225e-06 X:1.36049794225e-06 Z:1.36049794225e-06 ^:0.0448977925921 ~:0.00408285432468 
@ !:0.149636344016 #:0.00431783029387 $:0.00575662745944 &:0.0143894104529 ,:0.047481745261 A:0.0302161792741 @:0.0805740800691 E:0.0115118161217 D:0.017267004784 G:0.00863422179058 M:1.43879716557e-06 L:0.0302161792741 O:0.0805740800691 N:0.0446041509298 P:0.027338584943 S:1.43879716557e-06 R:0.0345325707708 U:0.0100730189562 T:1.43879716557e-06 V:0.0748188914068 Y:1.43879716557e-06 X:0.0028790331283 Z:1.43879716557e-06 ^:0.0258997877774 ~:0.299271249236 
E !:0.115360461391 #:0.0256456264018 $:0.0128292214034 &:0.0256456264018 ,:0.102544056392 A:1.28164049984e-05 @:1.28164049984e-05 E:0.256340916373 D:0.0128292214034 G:0.0256456264018 M:1.28164049984e-05 L:0.0512784363986 O:0.102544056392 N:0.0128292214034 P:0.0256456264018 S:1.28164049984e-05 R:0.0256456264018 U:0.064094841397 T:1.28164049984e-05 V:0.064094841397 Y:1.28164049984e-05 X:1.28164049984e-05 Z:1.28164049984e-05 ^:0.0128292214034 ~:0.064094841397 
D !:1.15336928001e-06 #:1.15336928001e-06 $:0.0253752775295 &:1.15336928001e-06 ,:0.0126882154494 A:0.202994146651 @:0.0023078919293 E:1.15336928001e-06 D:0.00346126120931 G:0.00807473832934 M:1.15336928001e-06 L:1.15336928001e-06 O:0.00461463048932 N:0.606673394654 P:0.00346126120931 S:0.00807473832934 R:0.0115348461694 U:1.15336928001e-06 T:1.15336928001e-06 V:0.00922810760935 Y:1.15336928001e-06 X:1.15336928001e-06 Z:0.00115452264929 ^:0.09573080361 ~:0.00461463048932 
G !:0.031497736666 #:7.87246604999e-06 $:0.023625270616 &:0.00788033851604 ,:0.141712261366 A:0.039370202716 @:0.039370202716 E:0.00788033851604 D:0.039370202716 G:0.133839795316 M:7.87246604999e-06 L:7.87246604999e-06 O:0.062987600866 N:0.039370202716 P:0.023625270616 S:7.87246604999e-06 R:0.015752804566 U:0.078732532966 T:7.87246604999e-06 V:0.031497736666 Y:7.87246604999e-06 X:7.87246604999e-06 Z:7.87246604999e-06 ^:0.0944774650659 ~:0.188947057666 
M !:0.000330578512397 #:0.000330578512397 $:0.000330578512397 &:0.000330578512397 ,:0.000330578512397 A:0.330909090909 @:0.000330578512397 E:0.000330578512397 D:0.000330578512397 G:0.000330578512397 M:0.000330578512397 L:0.000330578512397 O:0.000330578512397 N:0.000330578512397 P:0.000330578512397 S:0.000330578512397 R:0.000330578512397 U:0.000330578512397 T:0.000330578512397 V:0.661487603306 Y:0.000330578512397 X:0.000330578512397 Z:0.000330578512397 ^:0.000330578512397 ~:0.000330578512397 
L !:3.98366696544e-06 #:3.98366696544e-06 $:0.0278896524251 &:3.98366696544e-06 ,:0.00398765063241 A:0.16333432925 @:3.98366696544e-06 E:3.98366696544e-06 D:0.103579324768 G:0.00398765063241 M:3.98366696544e-06 L:0.00398765063241 O:0.0239059854596 N:0.0557753211831 P:0.0916283238721 S:3.98366696544e-06 R:0.179268997112 U:3.98366696544e-06 T:0.0159386515287 V:0.318697340902 Y:3.98366696544e-06 X:3.98366696544e-06 Z:3.98366696544e-06 ^:0.00797131759785 ~:3.98366696544e-06 
O !:0.00767095707198 #:0.00191845833034 $:0.00191845833034 &:0.0124647060233 ,:0.110257184631 A:0.0210934541358 @:0.00191845833034 E:0.00575345749143 D:0.0153409553942 G:0.00191845833034 M:9.58749790273e-07 L:0.00191845833034 O:0.0210934541358 N:0.0249284532969 P:0.0517734474246 S:9.58749790273e-07 R:0.0910821888258 U:0.000959708540064 T:0.0143822056039 V:0.603054576832 Y:9.58749790273e-07 X:0.000959708540064 Z:9.58749790273e-07 ^:0.00479470770116 ~:0.00479470770116 
